,emp_id,name,father_name,email,dept,salary,hire_date
0,1,Ali,Tariq,alitariq@gmail.com,IT,50000.0,2019-05-15
1,2,Hassan,Ghafur,hassan@gmail.com,HR,35000.0,2024-07-02
2,3,Majid Bashir,Bashir,majidbashir@gmail.com,IT,120000.0,2024-07-02
3,4,Muzammil,Shoab,muzz@gmail.com,Finance,50000.0,2023-04-23
4,5,Ayesha,Khalid,ayesha@gmail.com,Marketing,80000.0,2024-01-03
5,6,Luqman,Qazi,luqman.qazi@gmail.com,IT,150000.0,2019-07-14
6,7,Tayyab,Asif,tayyab@gmail.com,Finance,70000.0,2022-12-02
7,8,Uzma,Barkat,uzma@gmail.com,Marketing,730000.0,2020-10-17
8,9,Muhammad,Imran,muhammad@gmail.com,IT,115000.0,2018-04-02
9,10,Hassan,Naseer,hassan.naseer@gmail.com,HR,130000.0,2022-05-15
